epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3754844069480896,0.0003000000142492354,1.7555036544799805,0.18612244725227356,2.5463860034942627
1,0.4654293358325958,0.0003000000142492354,1.5020393133163452,0.15673469007015228,2.5719401836395264
2,0.50785231590271,0.0003000000142492354,1.4108874797821045,0.4155102074146271,1.7118725776672363
3,0.5439527034759521,0.0003000000142492354,1.3177423477172852,0.4791836738586426,1.4771230220794678
4,0.5700591206550598,0.0003000000142492354,1.2591584920883179,0.47183674573898315,1.4975751638412476
5,0.580256998538971,0.0003000000142492354,1.2288451194763184,0.4734693765640259,1.4433834552764893
6,0.5982052087783813,0.0003000000142492354,1.1762701272964478,0.43918368220329285,1.5000436305999756
7,0.6051397323608398,0.0003000000142492354,1.1243523359298706,0.46204081177711487,1.6617496013641357
8,0.6428717374801636,0.0001500000071246177,1.0356241464614868,0.6146938800811768,1.0845247507095337
9,0.6532735228538513,0.0001500000071246177,1.0022960901260376,0.3991836607456207,1.783791422843933
10,0.6626555323600769,0.0001500000071246177,0.9779042601585388,0.45306122303009033,1.4767100811004639
11,0.6791760325431824,7.500000356230885e-05,0.9241992831230164,0.6628571152687073,0.964049220085144
12,0.6973281502723694,7.500000356230885e-05,0.8841421008110046,0.5795918107032776,1.1685030460357666
13,0.6918213367462158,7.500000356230885e-05,0.8656306266784668,0.6097959280014038,1.0846266746520996
14,0.7052825093269348,3.7500001781154424e-05,0.8459264039993286,0.6489796042442322,1.0223802328109741
15,0.7140526175498962,3.7500001781154424e-05,0.824563205242157,0.6889795660972595,0.8943467736244202
16,0.7154803276062012,3.7500001781154424e-05,0.8120540380477905,0.672653079032898,0.9178422689437866
17,0.7222108840942383,3.7500001781154424e-05,0.8006308674812317,0.6897959113121033,0.8997941017150879
18,0.7328166365623474,1.8750000890577212e-05,0.7668057680130005,0.6946938633918762,0.8620899319648743
19,0.7401590943336487,1.8750000890577212e-05,0.7553449869155884,0.7012245059013367,0.870300829410553
20,0.7389353513717651,1.8750000890577212e-05,0.7438241243362427,0.7151020169258118,0.8368846774101257
21,0.7411788702011108,1.8750000890577212e-05,0.7495630979537964,0.7191836833953857,0.8366044759750366
22,0.7391393184661865,1.8750000890577212e-05,0.7330446243286133,0.7085714340209961,0.8411123752593994
23,0.7472975850105286,1.8750000890577212e-05,0.7309654951095581,0.6987755298614502,0.8481717109680176
24,0.749949038028717,9.375000445288606e-06,0.7251530885696411,0.713469386100769,0.8350710272789001
25,0.7507648468017578,9.375000445288606e-06,0.717138409614563,0.7200000286102295,0.8139593005180359
