epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7976748943328857,9.999999747378752e-06,0.6012786030769348,0.8220407962799072,0.5331881642341614
1,0.7974709272384644,9.999999747378752e-06,0.5995306968688965,0.8195918202400208,0.5364806652069092
2,0.7980828285217285,9.999999747378752e-06,0.597794234752655,0.8171428442001343,0.5442364811897278
3,0.79543137550354,4.999999873689376e-06,0.6003413796424866,0.8155102133750916,0.5432724952697754
4,0.8035896420478821,4.999999873689376e-06,0.5817576050758362,0.8155102133750916,0.5459111928939819
5,0.7944115996360779,2.499999936844688e-06,0.5987122058868408,0.8146938681602478,0.5488119721412659
